,Team,GP,W,D,L,GF,GA,GD,Pts,Form,PPG,last 8,CS,FTS
1,Manchester City,38,32,4,2,106,27,79,100,,2.63,2.38,47%,5%
2,Manchester Utd,38,25,6,7,68,28,40,81,,2.13,2,50%,21%
3,Tottenham,38,23,8,7,74,36,38,77,,2.03,2,42%,11%
4,Liverpool,38,21,12,5,84,38,46,75,,1.97,1.88,45%,18%
5,Chelsea,38,21,7,10,62,38,24,70,,1.84,1.75,42%,21%
6,Arsenal,38,19,6,13,74,51,23,63,,1.66,1.88,34%,16%
7,Burnley,38,14,12,12,36,39,-3,54,,1.42,1.38,32%,34%
8,Everton,38,13,10,15,44,58,-14,49,,1.29,1.5,26%,29%
9,Leicester City,38,12,11,15,56,60,-4,47,,1.24,0.88,24%,21%
10,Newcastle Utd,38,12,8,18,39,47,-8,44,,1.16,1.5,24%,37%
11,Crystal Palace,38,11,11,16,45,55,-10,44,,1.16,2.13,24%,37%
12,Bournemouth,38,11,11,16,45,61,-16,44,,1.16,1.38,16%,32%
13,West Ham Utd,38,10,12,16,48,68,-20,42,,1.11,1.5,26%,24%
14,Watford,38,11,8,19,44,64,-20,41,,1.08,0.63,24%,37%
15,Brighton,38,9,13,16,34,54,-20,40,,1.05,0.75,26%,45%
16,Huddersfield,38,9,10,19,28,58,-30,37,,0.97,0.75,26%,55%
17,Southampton,38,7,15,16,37,56,-19,36,,0.95,1,21%,37%
18,Swansea City,38,8,9,21,28,56,-28,33,,0.87,0.25,24%,47%
19,Stoke City,38,7,12,19,35,68,-33,33,,0.87,0.75,16%,34%
20,West Brom,38,6,13,19,31,56,-25,31,,0.82,1.38,26%,34%
